Date,Open,High,Low,Close,Volume,Adj Close
2015-05-14,64.900002,64.910004,64.099998,64.379997,1563900,62.418983
2015-05-15,64.550003,65.089996,64.260002,64.519997,1043500,62.554718
2015-05-18,64.529999,65.529999,64.339996,65.410004,1402500,63.417615
2015-05-19,65.410004,65.769997,64.779999,64.860001,1260700,62.884365
2015-05-20,64.830002,64.919998,63.860001,63.91,904100,61.963301
2015-05-21,63.939999,64.489998,63.740002,64.260002,1543700,62.302642
2015-05-22,64.080002,64.209999,63.82,64.029999,1066900,62.079645
2015-05-26,63.389999,63.59,62.68,62.93,1892800,61.013152
2015-05-27,62.98,63.549999,62.580002,63.360001,1290600,61.430055
2015-05-28,63.310001,63.57,62.27,62.5,1618100,60.59625
2015-05-29,62.349998,62.689999,61.549999,61.73,2290900,59.849704
2015-06-01,62.040001,62.290001,61.459999,62.110001,1615900,60.21813
2015-06-02,61.650002,62.330002,61.459999,61.639999,3272300,59.762445
2015-06-03,61.970001,64.980003,61.900002,64.620003,3307000,63.040309
2015-06-04,64.089996,64.290001,63.139999,63.349998,2389000,61.801351
2015-06-05,63.07,64.410004,63.07,64.18,2217300,62.611063
2015-06-08,63.959999,64.0,63.209999,63.349998,1609500,61.801351
2015-06-09,63.150002,64.650002,63.060001,63.77,2153700,62.211086
2015-06-10,63.950001,64.540001,63.700001,63.82,1148100,62.259863
2015-06-11,63.889999,64.440002,63.599998,64.32,1102500,62.74764
2015-06-12,63.990002,64.169998,63.139999,63.700001,1500100,62.142797
2015-06-15,63.220001,63.810001,62.779999,63.75,1344400,62.191574
2015-06-16,63.630001,64.089996,63.52,63.93,1673400,62.367174
2015-06-17,63.919998,64.290001,63.689999,64.029999,1580500,62.464728
2015-06-18,64.290001,65.449997,64.150002,64.800003,2004800,63.215909
2015-06-19,64.760002,64.879997,64.059998,64.209999,1419700,62.640328
2015-06-22,64.660004,64.800003,64.059998,64.160004,778200,62.591555
2015-06-23,64.699997,64.699997,63.580002,63.77,718800,62.211086
2015-06-24,63.919998,64.120003,62.57,62.599998,1169700,61.069686
2015-06-25,62.740002,63.0,62.369999,62.470001,1086700,60.942866
2015-06-26,62.700001,63.279999,62.450001,63.040001,1332900,61.498932
2015-06-29,62.459999,62.970001,61.68,61.689999,1239400,60.181932
2015-06-30,62.360001,63.740002,62.07,62.389999,1401000,60.86482
2015-07-01,62.790001,62.939999,62.209999,62.27,1253900,60.747755
2015-07-02,62.529999,63.139999,62.389999,63.060001,1604800,61.518443
2015-07-06,62.169998,63.060001,61.900002,62.16,1141200,60.640443
2015-07-07,62.299999,63.259998,61.990002,63.200001,1494200,61.65502
2015-07-08,62.650002,62.970001,61.639999,61.889999,1283800,60.377043
2015-07-09,62.720001,63.110001,62.16,62.16,971100,60.640443
2015-07-10,62.779999,63.810001,62.369999,63.549999,1265300,61.996463
2015-07-13,63.73,64.93,63.669998,64.830002,1199900,63.245175
2015-07-14,64.790001,64.860001,64.089996,64.32,1183300,62.74764
2015-07-15,64.400002,64.639999,62.880001,63.040001,1324200,61.498932
2015-07-16,63.32,63.790001,63.110001,63.32,948900,61.772086
2015-07-17,63.259998,64.099998,62.900002,63.0,1258400,61.459909
2015-07-20,63.040001,63.75,62.939999,63.669998,866100,62.113528
2015-07-21,63.759998,65.660004,63.450001,65.389999,2126600,63.791483
2015-07-22,65.269997,66.0,65.110001,65.25,1704200,63.654906
2015-07-23,65.0,65.110001,64.300003,64.419998,1104800,62.845194
2015-07-24,64.449997,64.839996,63.98,64.309998,989500,62.737882
2015-07-27,63.860001,64.93,63.860001,64.760002,1286000,63.176886
2015-07-28,64.800003,66.879997,64.389999,66.730003,2039400,65.098729
2015-07-29,70.0,71.339996,69.110001,69.849998,3464900,68.142453
2015-07-30,69.440002,70.010002,69.0,69.870003,2483100,68.161968
2015-07-31,70.32,70.589996,69.650002,70.150002,1432900,68.435122
2015-08-03,70.139999,70.940002,70.019997,70.720001,1554500,68.991188
2015-08-04,70.809998,71.379997,70.010002,70.419998,2144800,68.698519
2015-08-05,71.089996,71.5,70.190002,70.309998,1329300,68.591207
2015-08-06,70.550003,70.580002,69.019997,69.669998,1278000,67.966853
2015-08-07,69.559998,69.559998,68.230003,68.849998,1234600,67.166899
2015-08-10,69.510002,69.940002,69.220001,69.580002,790200,67.879057
2015-08-11,69.190002,70.040001,68.870003,69.839996,1065600,68.132695
2015-08-12,69.160004,69.199997,68.419998,69.099998,1670800,67.410787
2015-08-13,69.029999,69.269997,68.589996,68.709999,812500,67.030322
2015-08-14,68.849998,69.470001,68.660004,69.400002,678900,67.703457
2015-08-17,69.209999,69.720001,68.540001,69.690002,976700,67.986368
2015-08-18,69.720001,70.370003,69.480003,69.75,1152000,68.044899
2015-08-19,70.059998,71.150002,69.220001,70.830002,1780600,69.098499
2015-08-20,70.019997,70.32,69.129997,69.220001,1671000,67.527857
2015-08-21,68.360001,68.860001,67.089996,67.239998,1545800,65.596256
2015-08-24,65.169998,66.32,64.089996,65.160004,3477600,63.567109
2015-08-25,65.870003,66.449997,64.089996,64.139999,2282800,62.57204
2015-08-26,65.739998,67.309998,65.529999,67.260002,2447000,65.615771
2015-08-27,67.699997,68.0,66.779999,67.82,1545100,66.162079
2015-08-28,67.690002,68.050003,66.709999,67.239998,1917900,65.596256
2015-08-31,66.970001,68.099998,66.589996,67.43,1336300,65.781614
2015-09-01,66.080002,67.080002,65.739998,66.0,1640600,64.386571
2015-09-02,67.290001,68.75,66.93,68.739998,3147400,67.447926
2015-09-03,68.720001,69.370003,68.080002,68.199997,1390100,66.918075
2015-09-04,67.419998,68.230003,67.32,67.699997,1207500,66.427474
2015-09-08,68.760002,69.120003,68.169998,68.940002,1287300,67.644171
2015-09-09,69.510002,69.589996,68.580002,68.830002,1155100,67.536238
2015-09-10,68.330002,69.480003,68.160004,69.0,1479300,67.703041
2015-09-11,68.790001,69.07,68.209999,68.68,1364000,67.389056
2015-09-14,69.089996,69.43,68.389999,68.599998,751200,67.310558
2015-09-15,68.699997,69.639999,68.470001,69.489998,1074800,68.183829
2015-09-16,69.459999,69.919998,69.099998,69.790001,988400,68.478193
2015-09-17,69.839996,69.989998,68.889999,69.029999,1032800,67.732476
2015-09-18,68.169998,68.339996,67.449997,67.57,2350000,66.29992
2015-09-21,67.809998,68.860001,67.57,68.519997,695700,67.23206
2015-09-22,67.559998,67.839996,66.449997,66.860001,1105300,65.603266
2015-09-23,66.82,67.57,66.529999,67.400002,1375600,66.133117
2015-09-24,67.239998,67.940002,66.459999,67.529999,2097400,66.260671
2015-09-25,67.650002,68.800003,67.190002,68.529999,1410600,67.241874
2015-09-28,68.730003,69.440002,67.82,67.860001,1758900,66.58447
2015-09-29,67.709999,68.239998,67.620003,68.150002,2089000,66.86902
2015-09-30,67.580002,68.360001,67.410004,67.779999,2064200,66.505972
2015-10-01,68.160004,68.230003,66.889999,67.709999,1674800,66.437288
2015-10-02,66.809998,68.830002,66.540001,68.809998,1565100,67.51661
2015-10-05,69.18,70.379997,68.949997,70.040001,1397600,68.723494
2015-10-06,70.279999,70.290001,69.330002,70.239998,1225200,68.919731
2015-10-07,70.25,71.019997,69.800003,70.18,2007600,68.860862
2015-10-08,70.040001,71.059998,69.419998,70.889999,1709600,69.557515
2015-10-09,71.120003,72.389999,70.849998,71.709999,1979100,70.362102
2015-10-12,72.080002,72.290001,71.410004,72.0,895300,70.646652
2015-10-13,71.849998,72.199997,71.290001,71.349998,1012300,70.008868
2015-10-14,71.610001,72.010002,70.650002,70.959999,1340800,69.626199
2015-10-15,71.25,72.519997,70.370003,72.300003,1097600,70.941016
2015-10-16,71.269997,72.620003,71.269997,71.75,817600,70.401351
2015-10-19,71.489998,72.309998,71.230003,71.900002,827000,70.548533
2015-10-20,71.690002,72.610001,71.690002,72.129997,861600,70.774206
2015-10-21,72.480003,72.970001,71.779999,71.860001,1093900,70.509284
2015-10-22,72.349998,73.220001,72.309998,72.720001,1563200,71.353119
2015-10-23,73.239998,73.269997,72.370003,72.790001,1229500,71.421803
2015-10-26,73.080002,73.339996,72.080002,72.5,1176500,71.137253
2015-10-27,71.57,72.910004,69.809998,69.989998,3199400,68.674431
2015-10-28,70.720001,70.970001,66.540001,67.989998,3932300,66.712024
2015-10-29,67.900002,69.489998,67.669998,69.379997,1882200,68.075896
2015-10-30,69.309998,69.790001,68.919998,69.379997,1333100,68.075896
2015-11-02,69.379997,70.330002,69.379997,70.239998,978600,68.919731
2015-11-03,70.160004,70.379997,69.75,70.139999,705500,68.821613
2015-11-04,69.970001,70.260002,68.300003,68.709999,1281200,67.418491
2015-11-05,68.769997,68.910004,67.730003,68.300003,1215000,67.016202
2015-11-06,68.550003,68.730003,67.620003,68.720001,1028900,67.428305
2015-11-09,68.349998,68.57,67.190002,67.82,972900,66.545221
2015-11-10,67.629997,69.089996,67.629997,68.75,927700,67.45774
2015-11-11,68.93,69.25,68.339996,68.75,560100,67.45774
2015-11-12,68.25,69.050003,67.43,67.480003,791100,66.211615
2015-11-13,67.379997,67.830002,66.690002,67.019997,707900,65.760255
2015-11-16,67.18,67.650002,66.669998,67.410004,770400,66.142931
2015-11-17,67.339996,68.760002,66.599998,67.830002,830500,66.555035
2015-11-18,67.839996,68.389999,67.540001,68.279999,835300,66.996574
2015-11-19,68.190002,69.029999,67.919998,68.309998,825600,67.026008
2015-11-20,68.580002,69.550003,68.029999,68.529999,727800,67.241874
2015-11-23,68.790001,69.059998,68.169998,68.25,977800,66.967139
2015-11-24,68.120003,69.720001,67.669998,68.220001,844200,66.937704
2015-11-25,68.43,68.839996,68.209999,68.610001,700800,67.320372
2015-11-27,68.660004,69.32,68.660004,68.860001,348300,67.565673
2015-11-30,68.839996,69.449997,67.379997,67.43,1100800,66.162552
2015-12-01,67.739998,68.459999,67.209999,67.949997,828500,66.672775
2015-12-02,64.870003,65.309998,62.82,63.580002,6043100,62.38492
2015-12-03,63.349998,64.209999,61.889999,62.220001,4134700,61.050483
2015-12-04,62.09,63.189999,62.09,62.799999,2946400,61.619579
2015-12-07,62.509998,63.049999,61.709999,62.080002,1868100,60.913115
2015-12-08,61.560001,61.869999,59.709999,60.509998,3412300,59.372622
2015-12-09,60.639999,61.77,60.119999,60.549999,1811900,59.411871
2015-12-10,60.639999,61.66,60.23,61.509998,2173000,60.785497
2015-12-11,60.919998,62.110001,60.610001,62.0,2767000,61.269727
2015-12-14,62.0,62.18,61.150002,61.68,2358400,60.953497
2015-12-15,61.900002,63.209999,61.209999,62.610001,2620300,61.872543
2015-12-16,63.529999,64.470001,63.5,64.269997,2123600,63.512987
2015-12-17,64.480003,65.099998,64.190002,64.199997,2634300,63.443811
2015-12-18,63.68,63.84,61.77,62.360001,7191000,61.625488
2015-12-21,63.009998,63.080002,61.939999,62.5,1284500,61.763838
2015-12-22,62.869999,63.419998,62.459999,63.400002,1269200,62.653239
2015-12-23,63.610001,64.129997,63.380001,63.98,1274900,63.226405
2015-12-24,63.959999,64.540001,63.290001,63.529999,571700,62.781705
2015-12-28,63.389999,63.529999,62.57,63.18,811500,62.435829
2015-12-29,63.73,63.73,62.330002,63.189999,994900,62.445709
2015-12-30,62.880001,63.400002,62.299999,62.360001,1502100,61.625488
2015-12-31,62.23,62.639999,61.860001,62.02,1614000,61.289492
2016-01-04,61.09,62.02,60.310001,61.790001,3072300,61.062202
2016-01-05,61.689999,63.919998,61.110001,63.470001,3967000,62.722414
2016-01-06,62.330002,63.43,62.049999,63.16,2929000,62.416064
2016-01-07,64.0,64.080002,62.669998,63.09,3114600,62.346889
2016-01-08,63.240002,63.880001,62.849998,63.119999,2448800,62.376534
2016-01-11,63.07,63.259998,61.110001,61.75,1868400,61.022672
2016-01-12,61.990002,63.200001,61.950001,62.98,1410100,62.238184
2016-01-13,63.060001,63.59,62.490002,62.689999,2143000,61.951599
2016-01-14,62.84,63.529999,62.049999,63.130001,1691100,62.386418
2016-01-15,61.93,63.93,61.849998,63.560001,2358400,62.811354
2016-01-19,64.480003,64.489998,62.950001,63.66,1468700,62.910175
2016-01-20,62.77,64.32,62.18,63.73,1437400,62.97935
2016-01-21,64.300003,65.230003,63.720001,64.510002,1999200,63.750165
2016-01-22,65.089996,65.5,64.029999,64.230003,1832400,63.473464
2016-01-25,62.75,64.0,62.610001,62.720001,2699500,61.981248
2016-01-26,63.099998,64.349998,62.73,64.07,2391600,63.315345
2016-01-27,64.0,65.110001,63.049999,63.18,1995600,62.435829
2016-01-28,63.549999,64.169998,62.720001,63.049999,1966800,62.307359
2016-01-29,63.259998,64.779999,63.049999,64.769997,1821900,64.007097
2016-02-01,64.050003,65.629997,63.939999,65.209999,1844300,64.441917
2016-02-02,64.379997,65.209999,62.919998,63.48,2705700,62.732294
2016-02-03,65.209999,66.610001,64.269997,64.910004,3450200,64.145455
2016-02-04,65.68,67.470001,65.120003,67.449997,2292000,66.655531
2016-02-05,66.959999,68.879997,66.510002,68.080002,3083900,67.278115
2016-02-08,67.68,69.610001,67.660004,69.519997,2430100,68.701149
2016-02-09,68.779999,70.400002,68.419998,69.690002,1859900,68.869152
2016-02-10,69.790001,70.660004,68.580002,68.629997,2082300,67.821632
2016-02-11,68.0,69.150002,67.699997,68.830002,1588200,68.019281
2016-02-12,69.120003,70.370003,69.120003,70.160004,1520500,69.333618
2016-02-16,70.160004,71.620003,69.93,71.209999,1691100,70.371245
2016-02-17,71.239998,71.879997,70.379997,70.839996,1655500,70.005601
2016-02-18,70.690002,71.110001,70.099998,70.959999,1247700,70.12419
2016-02-19,70.690002,70.690002,69.239998,70.480003,2010000,69.649848
2016-02-22,71.419998,71.870003,69.699997,70.07,2660300,69.244674
2016-02-23,69.370003,70.059998,68.989998,69.529999,1371300,68.711033
2016-02-24,69.199997,70.360001,68.970001,70.230003,1532900,69.402793
2016-02-25,70.260002,70.309998,69.110001,70.160004,1353200,69.333618
2016-02-26,70.360001,70.669998,69.970001,70.349998,1145400,69.521374
2016-02-29,70.110001,70.739998,69.739998,69.830002,1631100,69.007503
2016-03-01,70.790001,70.940002,69.989998,70.739998,2089600,69.90678
2016-03-02,70.540001,71.690002,70.18,71.410004,2525200,71.000477
2016-03-03,71.139999,71.959999,70.980003,71.510002,1487700,71.099902
2016-03-04,71.209999,73.5,71.209999,72.68,2288400,72.263191
2016-03-07,71.480003,72.139999,70.419998,71.599998,1667700,71.189382
2016-03-08,71.440002,72.330002,71.120003,71.629997,1153000,71.219209
2016-03-09,71.260002,72.230003,70.550003,71.419998,899900,71.010414
2016-03-10,71.860001,72.07,70.57,71.510002,1674600,71.099902
2016-03-11,72.019997,72.699997,71.860001,72.629997,969200,72.213474
2016-03-14,72.550003,72.980003,72.089996,72.459999,884200,72.044451
2016-03-15,72.169998,73.470001,71.879997,73.07,1459300,72.650953
2016-03-16,72.57,73.410004,72.330002,73.110001,1119800,72.690725
2016-03-17,73.370003,74.660004,72.809998,73.830002,1158100,73.406597
2016-03-18,74.120003,75.110001,73.730003,74.339996,1973000,73.913667
2016-03-21,73.989998,74.339996,73.120003,73.650002,1013800,73.227629
2016-03-22,72.970001,73.809998,72.970001,73.480003,718500,73.058606
2016-03-23,73.480003,73.900002,73.18,73.480003,728500,73.058606
2016-03-24,73.089996,73.769997,73.089996,73.739998,608600,73.317109
2016-03-28,73.889999,74.230003,73.370003,74.040001,818700,73.615392
2016-03-29,73.989998,74.629997,73.68,74.5,767700,74.072753
2016-03-30,74.690002,74.940002,74.129997,74.550003,612100,74.122469
2016-03-31,74.379997,74.5,73.800003,74.230003,1168800,73.804305
2016-04-01,73.720001,73.790001,72.620003,73.650002,1313200,73.227629
2016-04-04,73.720001,74.620003,73.290001,73.470001,1037400,73.048661
2016-04-05,72.870003,74.129997,72.870003,73.529999,781000,73.108314
2016-04-06,73.349998,73.669998,72.900002,73.660004,881900,73.237574
2016-04-07,73.0,73.059998,71.120003,71.849998,2129700,71.437949
2016-04-08,72.18,72.860001,71.660004,71.839996,1014200,71.428004
2016-04-11,71.970001,72.580002,71.519997,71.769997,1361100,71.358406
2016-04-12,72.029999,72.699997,71.459999,72.489998,1260400,72.074278
2016-04-13,72.68,73.57,72.419998,72.949997,871200,72.531639
2016-04-14,73.010002,73.309998,72.43,72.900002,768000,72.48193
2016-04-15,73.410004,74.519997,73.199997,73.510002,1367600,73.088432
2016-04-18,73.470001,74.519997,73.339996,74.110001,991500,73.68499
2016-04-19,74.470001,75.300003,74.110001,75.230003,1333900,74.79857
2016-04-20,75.32,75.650002,74.690002,74.730003,1085800,74.301437
2016-04-21,74.550003,75.290001,74.209999,74.309998,716200,73.88384
2016-04-22,74.449997,74.980003,74.290001,74.559998,639100,74.132406
2016-04-25,74.860001,75.089996,74.32,74.599998,890900,74.172178
2016-04-26,74.57,76.099998,74.300003,75.709999,1485900,75.275813
2016-04-27,71.660004,73.580002,70.080002,71.809998,3508600,71.398177
2016-04-28,70.940002,71.610001,69.839996,70.830002,2433800,70.423802
2016-04-29,70.75,71.199997,70.389999,70.970001,1398000,70.562998
2016-05-02,71.269997,71.970001,71.160004,71.809998,1376000,71.398177
2016-05-03,71.150002,71.379997,70.480003,70.839996,1185800,70.433739
2016-05-04,70.519997,71.970001,70.339996,71.739998,1789200,71.328579
2016-05-05,71.709999,71.959999,70.730003,70.849998,845500,70.443684
2016-05-06,70.949997,72.910004,70.639999,72.82,1789600,72.402387
2016-05-09,72.5,73.260002,72.209999,73.139999,1038900,72.720552
2016-05-10,73.690002,73.830002,72.779999,73.050003,1065900,72.631071
2016-05-11,72.839996,73.199997,72.330002,72.589996,941900,72.173703
2016-05-12,72.519997,72.989998,72.0,72.470001,840800,72.054396
2016-05-13,72.559998,72.75,71.830002,72.309998,1111200,71.89531
2016-05-16,72.440002,72.830002,71.650002,72.440002,840200,72.024569
2016-05-17,72.059998,73.699997,71.870003,72.779999,1162600,72.362616
2016-05-18,72.610001,73.410004,72.220001,73.150002,1282700,72.730496
2016-05-19,72.580002,73.379997,72.5,73.099998,828800,72.68078
2016-05-20,73.529999,74.489998,73.529999,74.32,1093600,73.893785
2016-05-23,74.059998,74.529999,74.059998,74.360001,846400,73.933556
2016-05-24,74.419998,74.989998,74.029999,74.690002,1134900,74.261666
2016-05-25,74.940002,75.07,74.480003,74.809998,1161400,74.380973
2016-05-26,75.099998,75.370003,74.730003,74.970001,806700,74.540059
2016-05-27,74.989998,75.440002,74.790001,75.18,1108300,74.748853
2016-05-31,75.410004,75.779999,74.360001,74.980003,4326800,74.550003
2016-06-01,74.559998,74.660004,73.75,74.25,827600,74.25
2016-06-02,74.230003,74.300003,73.699997,73.790001,1063900,73.790001
2016-06-03,73.260002,73.419998,72.959999,73.360001,2470600,73.360001
2016-06-06,74.160004,74.160004,73.0,73.220001,1340600,73.220001
2016-06-07,73.129997,73.160004,72.769997,72.949997,1284600,72.949997
2016-06-08,72.949997,73.699997,72.809998,73.669998,1759500,73.669998
2016-06-09,73.769997,74.25,73.209999,74.110001,1688500,74.110001
2016-06-10,73.559998,73.690002,72.879997,72.989998,1032400,72.989998
2016-06-13,73.07,73.330002,72.879997,72.980003,971900,72.980003
2016-06-14,73.019997,73.139999,72.0,72.470001,1238000,72.470001
2016-06-15,72.480003,73.330002,72.339996,72.519997,1389900,72.519997
2016-06-16,72.459999,72.459999,71.260002,72.089996,1487600,72.089996
2016-06-17,71.769997,72.029999,71.400002,71.980003,2029500,71.980003
2016-06-20,72.68,73.110001,72.489998,72.540001,747700,72.540001
2016-06-21,72.459999,72.550003,71.559998,72.089996,930900,72.089996
2016-06-22,72.099998,72.43,71.550003,71.860001,1179100,71.860001
2016-06-23,71.910004,72.260002,71.669998,71.919998,1402000,71.919998
2016-06-24,70.32,71.959999,70.150002,71.639999,2209000,71.639999
2016-06-27,71.339996,72.489998,71.239998,72.18,2020400,72.18
2016-06-28,72.239998,73.440002,72.18,73.419998,1638600,73.419998
