Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,167.0,167.990005,165.070007,166.360001,1102900,165.046441
2015-05-04,166.289993,169.970001,165.800003,168.649994,1115300,167.318353
2015-05-05,167.419998,168.399994,163.940002,164.25,1466900,162.953101
2015-05-06,165.289993,165.380005,162.350006,163.070007,1579600,161.782425
2015-05-07,162.630005,166.270004,162.630005,164.539993,917900,163.240804
2015-05-08,165.860001,168.199997,165.089996,167.899994,1282700,166.574275
2015-05-11,167.559998,168.639999,166.429993,166.619995,1064000,165.304382
2015-05-12,166.630005,174.0,166.520004,173.380005,3630200,172.011016
2015-05-13,173.080002,173.880005,171.5,173.5,1727600,172.130064
2015-05-14,174.770004,176.240005,173.860001,174.25,1264900,172.874142
2015-05-15,175.009995,175.910004,173.460007,175.899994,743200,174.511107
2015-05-18,175.300003,177.309998,175.25,176.610001,1143100,175.215508
2015-05-19,176.350006,178.960007,176.300003,177.740005,1224800,176.336591
2015-05-20,177.75,179.25,176.960007,178.539993,684100,177.130262
2015-05-21,177.880005,179.389999,177.020004,178.759995,904500,177.348526
2015-05-22,178.339996,179.509995,177.210007,179.0,1144000,177.586636
2015-05-26,178.100006,178.839996,176.529999,177.880005,1099400,176.475484
2015-05-27,178.740005,180.169998,177.820007,178.520004,1046500,177.110431
2015-05-28,178.080002,179.75,177.270004,178.410004,1105200,177.001298
2015-05-29,178.619995,219.789993,176.410004,214.649994,9938100,212.955142
2015-06-01,213.149994,217.0,210.330002,214.919998,5087400,213.223014
2015-06-02,214.660004,216.020004,213.550003,214.740005,2159500,213.044443
2015-06-03,214.5,215.100006,212.300003,213.610001,2662300,211.92336
2015-06-04,212.5,214.0,211.460007,213.0,1725200,211.318176
2015-06-05,212.479996,214.800003,211.139999,214.380005,1736000,212.687285
2015-06-08,216.550003,219.479996,212.029999,212.330002,2782500,210.653468
2015-06-09,211.940002,213.740005,211.399994,212.470001,1897200,210.792362
2015-06-10,212.369995,215.550003,211.550003,214.449997,2558500,212.756724
2015-06-11,215.070007,216.660004,213.369995,214.169998,1692800,212.478936
2015-06-12,213.009995,215.369995,212.210007,212.470001,2334100,210.792362
2015-06-15,211.660004,217.770004,198.800003,206.580002,8060500,204.94887
2015-06-16,202.940002,206.259995,199.389999,199.600006,6326700,198.023987
2015-06-17,200.5,205.300003,200.5,200.889999,3082000,199.303795
2015-06-18,201.300003,202.839996,198.910004,199.300003,1864200,197.726353
2015-06-19,199.619995,202.679993,198.429993,202.309998,1951900,200.712581
2015-06-22,207.0,207.570007,189.029999,189.940002,7556000,188.440258
2015-06-23,189.470001,193.690002,185.110001,189.860001,5301700,188.360888
2015-06-24,188.990005,189.839996,184.229996,184.229996,2980000,182.775337
2015-06-25,184.830002,199.990005,184.380005,197.369995,8331700,195.811584
2015-06-26,199.009995,200.0,194.149994,195.5,8626300,194.241752
2015-06-29,193.0,194.399994,189.259995,192.899994,3176800,191.65848
2015-06-30,193.869995,196.300003,191.039993,191.279999,3055100,190.048911
2015-07-01,191.869995,194.110001,189.779999,193.139999,1884200,191.896941
2015-07-02,192.020004,192.929993,185.009995,187.5,3720400,186.293241
2015-07-06,190.0,195.0,187.619995,188.960007,13944900,187.743851
2015-07-07,188.399994,189.399994,181.820007,187.100006,6097700,185.895821
2015-07-08,186.009995,187.740005,185.460007,185.860001,3527800,184.663796
2015-07-09,187.259995,188.139999,186.160004,186.160004,3591300,184.961869
2015-07-10,188.0,188.149994,186.020004,187.25,2234900,186.04485
2015-07-13,188.25,188.25,183.679993,185.100006,2691100,183.908693
2015-07-14,186.169998,186.979996,185.050003,186.139999,1506200,184.941993
2015-07-15,186.029999,187.990005,185.399994,187.479996,1635200,186.273365
2015-07-16,187.899994,187.979996,185.720001,186.419998,1806800,185.22019
2015-07-17,186.380005,187.770004,185.990005,187.440002,1545300,186.233629
2015-07-20,188.070007,188.240005,185.759995,186.160004,1285300,184.961869
2015-07-21,186.259995,187.220001,184.529999,185.850006,1234200,184.653866
2015-07-22,185.850006,186.880005,184.910004,186.100006,1803800,184.902257
2015-07-23,186.210007,186.479996,184.210007,184.729996,1506700,183.541064
2015-07-24,184.009995,184.089996,181.020004,181.759995,1506300,180.590178
2015-07-27,181.009995,184.229996,180.289993,183.910004,1184400,182.72635
2015-07-28,184.160004,184.860001,181.860001,184.520004,1214600,183.332424
2015-07-29,183.839996,184.889999,182.289993,184.410004,1077200,183.223132
2015-07-30,184.960007,186.0,183.199997,183.699997,740500,182.517695
2015-07-31,184.149994,184.919998,181.279999,182.089996,1357700,180.918056
2015-08-03,182.5,184.210007,181.330002,182.399994,1012300,181.226058
2015-08-04,182.929993,184.380005,181.410004,182.330002,1117800,181.156517
2015-08-05,183.289993,186.089996,182.940002,185.539993,1314900,184.345849
2015-08-06,185.759995,186.990005,184.389999,184.520004,1114000,183.332424
2015-08-07,184.779999,184.779999,182.559998,184.059998,718200,182.875378
2015-08-10,184.539993,186.550003,183.970001,186.259995,719800,185.061216
2015-08-11,185.210007,186.600006,184.529999,185.820007,1085800,184.62406
2015-08-12,185.309998,186.179993,182.679993,186.089996,1088100,184.892312
2015-08-13,186.0,187.309998,185.25,186.059998,564800,184.862506
2015-08-14,185.529999,188.149994,185.059998,186.509995,1122200,185.309607
2015-08-17,185.470001,190.330002,185.100006,189.75,1168400,188.52876
2015-08-18,188.990005,192.490005,188.259995,190.529999,915400,189.303738
2015-08-19,189.570007,190.600006,188.600006,189.399994,623700,188.181006
2015-08-20,188.089996,189.580002,185.449997,186.089996,1223600,184.892312
2015-08-21,184.929993,185.970001,181.729996,181.729996,1270800,180.560372
2015-08-24,170.759995,180.360001,169.399994,175.179993,1895400,174.052525
2015-08-25,177.690002,181.630005,175.449997,175.460007,1161800,174.330737
2015-08-26,178.929993,181.089996,176.169998,180.729996,1383600,179.566808
2015-08-27,181.039993,184.899994,180.800003,184.809998,1030600,183.620551
2015-08-28,184.070007,185.059998,183.089996,184.009995,506400,182.825697
2015-08-31,184.100006,186.179993,182.720001,182.789993,921100,181.613548
2015-09-01,179.880005,181.679993,178.470001,179.25,1026800,178.096338
2015-09-02,181.100006,181.699997,178.830002,181.699997,1074900,180.530567
2015-09-03,182.350006,184.429993,181.039993,182.160004,743200,180.987613
2015-09-04,180.300003,182.949997,179.5,181.520004,650000,180.351732
2015-09-08,183.979996,185.25,183.240005,184.979996,600600,183.789455
2015-09-09,185.919998,188.240005,184.839996,185.149994,817100,183.958359
2015-09-10,185.389999,185.960007,184.25,185.210007,853600,184.017986
2015-09-11,184.630005,187.380005,184.279999,187.320007,574600,186.114406
2015-09-14,186.5,187.429993,185.669998,187.0,423800,185.796459
2015-09-15,187.199997,189.119995,186.300003,187.690002,590600,186.48202
2015-09-16,188.149994,188.360001,187.070007,187.619995,631900,186.412463
2015-09-17,188.100006,190.100006,187.25,188.589996,906700,187.376222
2015-09-18,187.710007,188.690002,187.199997,187.889999,1042300,186.68073
2015-09-21,188.619995,190.199997,186.889999,188.839996,546200,187.624613
2015-09-22,187.669998,189.190002,185.139999,188.649994,478600,187.435833
2015-09-23,188.470001,189.600006,187.110001,188.679993,569100,187.465639
2015-09-24,187.619995,188.330002,184.649994,185.970001,607800,184.773089
2015-09-25,186.889999,187.580002,180.679993,181.149994,1305000,179.984103
2015-09-28,180.289993,180.929993,172.710007,174.160004,1755800,173.316558
2015-09-29,174.350006,177.300003,173.289993,175.759995,1305600,174.9088
2015-09-30,177.089996,179.449997,175.720001,179.0,1856600,178.133114
2015-10-01,178.770004,180.550003,175.970001,180.070007,1131800,179.19794
2015-10-02,178.429993,183.580002,176.5,183.509995,605400,182.621267
2015-10-05,184.619995,185.25,181.649994,183.360001,877800,182.472
2015-10-06,183.539993,183.860001,178.610001,178.899994,1334800,178.033592
2015-10-07,179.460007,181.050003,178.279999,180.919998,851700,180.043814
2015-10-08,180.550003,181.220001,178.979996,180.300003,1096200,179.426821
2015-10-09,179.559998,182.419998,179.559998,181.039993,503400,180.163228
2015-10-12,180.940002,181.910004,180.130005,181.509995,481100,180.630953
2015-10-13,180.529999,185.990005,180.529999,184.449997,1245300,183.556717
2015-10-14,184.600006,185.690002,181.300003,182.520004,716300,181.636071
2015-10-15,181.130005,183.369995,180.199997,183.25,1084700,182.362532
2015-10-16,184.0,185.080002,182.830002,184.199997,1104200,183.307928
2015-10-19,183.899994,186.800003,183.899994,186.669998,1054000,185.765967
2015-10-20,186.820007,187.449997,184.979996,185.919998,845100,185.019599
2015-10-21,186.580002,186.850006,170.75,177.149994,2951700,176.292068
2015-10-22,176.860001,178.190002,162.210007,165.110001,3518400,164.310383
2015-10-23,165.029999,169.789993,165.029999,168.199997,2750900,167.385415
2015-10-26,168.410004,170.919998,167.550003,170.240005,1672100,169.415544
2015-10-27,170.240005,177.029999,169.509995,175.160004,1478100,174.311715
2015-10-28,174.910004,178.199997,171.309998,178.0,1022300,177.137957
2015-10-29,178.0,183.300003,175.410004,180.570007,1431700,179.695518
2015-10-30,180.809998,182.119995,178.559998,178.630005,952300,177.764911
2015-11-02,179.949997,181.869995,178.210007,180.639999,739000,179.765171
2015-11-03,179.979996,181.5,177.009995,178.529999,621900,177.665389
2015-11-04,178.669998,179.009995,176.009995,176.880005,737900,176.023386
2015-11-05,177.0,179.979996,176.320007,179.050003,810900,178.182875
2015-11-06,176.020004,177.809998,174.619995,177.240005,1010000,176.381643
2015-11-09,176.699997,178.080002,175.759995,177.649994,672700,176.789646
2015-11-10,177.720001,178.369995,175.729996,176.440002,1633800,175.585515
2015-11-11,177.449997,178.139999,170.610001,171.100006,1184900,170.27138
2015-11-12,170.789993,172.550003,167.949997,169.050003,956300,168.231305
2015-11-13,168.509995,170.429993,166.850006,167.360001,1193200,166.549487
2015-11-16,167.479996,169.949997,166.990005,169.039993,747600,168.221343
2015-11-17,168.699997,171.740005,168.570007,169.520004,994000,168.69903
2015-11-18,169.580002,171.600006,168.639999,171.080002,614800,170.251472
2015-11-19,165.289993,168.179993,163.399994,164.25,2014100,163.454548
2015-11-20,165.210007,169.240005,164.5,167.610001,1414400,166.798276
2015-11-23,167.940002,170.350006,167.009995,168.070007,1202400,167.256055
2015-11-24,166.910004,168.770004,166.440002,168.410004,815400,167.594405
2015-11-25,168.800003,169.520004,168.020004,168.389999,678200,167.574497
2015-11-27,168.910004,169.979996,168.169998,168.899994,627300,168.082022
2015-11-30,169.25,170.320007,168.240005,168.660004,1121600,167.843194
2015-12-01,168.919998,173.610001,168.919998,173.550003,1803700,172.709511
2015-12-02,173.5,175.660004,172.5,173.130005,1200700,172.291547
2015-12-03,173.169998,173.619995,168.240005,168.600006,685400,167.783487
2015-12-04,169.649994,172.619995,169.050003,170.770004,819000,169.942976
2015-12-07,170.899994,171.009995,169.020004,169.470001,596200,168.649269
2015-12-08,168.979996,170.600006,168.350006,170.039993,805700,169.2165
2015-12-09,168.860001,171.25,168.619995,170.729996,1063300,169.903161
2015-12-10,170.770004,173.139999,170.240005,172.020004,402600,171.186922
2015-12-11,170.369995,174.240005,170.259995,172.779999,1007000,171.943236
2015-12-14,173.259995,175.100006,172.050003,174.889999,888200,174.043018
2015-12-15,174.929993,176.960007,174.479996,175.660004,857700,174.809293
2015-12-16,177.199997,178.300003,175.690002,176.360001,1320600,175.5059
2015-12-17,176.350006,177.830002,175.309998,176.880005,717000,176.023386
2015-12-18,176.139999,177.119995,174.860001,175.380005,1238400,174.530651
2015-12-21,175.649994,176.75,174.470001,176.100006,998100,175.247165
2015-12-22,177.039993,177.369995,174.220001,176.100006,585100,175.247165
2015-12-23,176.580002,179.490005,171.350006,179.139999,854200,178.272436
2015-12-24,178.820007,180.309998,178.110001,178.300003,361800,177.436507
2015-12-28,177.729996,178.330002,176.009995,177.860001,294300,177.286991
2015-12-29,178.0,180.130005,177.809998,179.110001,743700,178.532964
2015-12-30,179.529999,179.619995,177.509995,179.0,412900,178.423317
2015-12-31,178.399994,179.75,178.399994,178.509995,590700,177.934891
2016-01-04,177.669998,179.880005,176.440002,179.75,969600,179.170901
2016-01-05,180.220001,181.460007,178.5,179.630005,977000,179.051293
2016-01-06,177.800003,179.240005,175.050003,176.610001,1449800,176.041018
2016-01-07,175.080002,176.660004,173.809998,175.149994,1923100,174.585715
2016-01-08,174.559998,176.330002,172.440002,172.910004,738100,172.352941
2016-01-11,173.080002,173.419998,166.710007,169.009995,1522200,168.465497
2016-01-12,169.550003,172.0,167.619995,168.830002,1397000,168.286084
2016-01-13,168.929993,170.110001,163.520004,163.889999,1258500,163.361997
2016-01-14,163.889999,167.75,162.770004,167.229996,1383900,166.691232
2016-01-15,166.339996,166.5,160.470001,162.160004,1617700,161.637574
2016-01-19,162.160004,167.360001,162.160004,164.0,1583300,163.471643
2016-01-20,162.839996,166.199997,157.449997,164.740005,1665000,164.209264
2016-01-21,165.639999,167.240005,163.300003,166.110001,620600,165.574846
2016-01-22,167.440002,168.229996,165.639999,166.220001,1162700,165.684492
2016-01-25,166.220001,166.809998,163.110001,163.289993,537200,162.763923
2016-01-26,163.25,165.539993,163.009995,164.660004,408900,164.12952
2016-01-27,165.350006,165.529999,159.740005,161.300003,1220400,160.780344
2016-01-28,161.309998,162.699997,158.809998,159.789993,791900,159.275199
2016-01-29,160.619995,163.449997,158.119995,162.789993,1205900,162.265534
2016-02-01,162.710007,168.360001,162.690002,167.580002,1799200,167.040111
2016-02-02,166.130005,167.589996,164.259995,166.869995,904300,166.332392
2016-02-03,167.539993,167.979996,164.75,166.779999,812300,166.242685
2016-02-04,166.559998,169.869995,164.869995,168.649994,1042800,168.106656
2016-02-05,167.970001,169.320007,163.320007,164.779999,1095400,164.249129
2016-02-08,164.130005,164.729996,156.039993,156.960007,1447200,156.45433
2016-02-09,157.039993,161.300003,155.240005,159.529999,1241100,159.016042
2016-02-10,161.169998,165.520004,160.75,161.070007,1703000,160.55109
2016-02-11,158.910004,160.919998,157.009995,158.020004,1036800,157.510913
2016-02-12,158.339996,160.470001,157.410004,160.369995,692300,159.853333
2016-02-16,161.0,166.740005,160.550003,166.639999,1021500,166.103137
2016-02-17,167.330002,169.589996,166.0,168.309998,1167900,167.767755
2016-02-18,168.0,169.0,166.610001,167.75,1475600,167.209561
2016-02-19,167.800003,168.220001,164.470001,165.339996,901300,164.807322
2016-02-22,166.5,171.850006,165.339996,171.75,1122300,171.196675
2016-02-23,171.679993,174.009995,170.059998,172.830002,684200,172.273197
2016-02-24,172.820007,174.0,169.869995,172.289993,504900,171.734928
2016-02-25,171.789993,176.740005,171.639999,176.600006,886500,176.031056
2016-02-26,176.809998,181.649994,176.600006,178.710007,1276200,178.134258
2016-02-29,179.039993,180.979996,176.710007,176.970001,853200,176.399859
2016-03-01,178.350006,181.5,176.610001,181.229996,1048300,180.646129
2016-03-02,180.300003,183.25,179.649994,182.699997,1200800,182.111394
2016-03-03,182.050003,183.559998,180.410004,183.220001,637200,182.629723
2016-03-04,182.710007,185.279999,181.259995,183.25,978500,182.659625
2016-03-07,182.0,184.580002,181.929993,184.25,848300,183.656403
2016-03-08,183.830002,184.160004,182.009995,182.520004,403300,181.931981
2016-03-09,182.990005,185.619995,182.789993,184.429993,1364300,183.835816
2016-03-10,185.0,186.080002,183.520004,184.759995,796200,184.164755
2016-03-11,185.899994,186.979996,185.160004,186.910004,724400,186.307837
2016-03-14,187.0,187.5,185.139999,186.330002,589800,185.729704
2016-03-15,185.449997,187.0,183.020004,183.910004,455600,183.317503
2016-03-16,183.630005,184.839996,181.860001,183.389999,579000,182.799174
2016-03-17,182.929993,182.940002,179.300003,182.539993,743300,181.951906
2016-03-18,182.0,185.949997,180.520004,184.600006,893300,184.005282
2016-03-21,184.259995,184.990005,182.740005,183.729996,392900,183.138075
2016-03-22,183.399994,185.460007,181.75,184.360001,424200,183.76605
2016-03-23,184.759995,184.759995,182.509995,183.589996,466800,182.998526
2016-03-24,182.320007,184.639999,181.440002,184.070007,484900,183.476991
2016-03-28,184.070007,184.960007,182.820007,182.929993,507800,182.340649
2016-03-29,182.940002,186.229996,182.649994,185.759995,478300,185.455543
2016-03-30,186.110001,187.440002,184.350006,184.889999,753900,184.586974
2016-03-31,184.520004,185.75,182.479996,182.949997,866700,182.650151
2016-04-01,182.770004,185.009995,181.5,184.740005,685300,184.437226
2016-04-04,185.0,187.800003,184.210007,185.470001,790600,185.166025
2016-04-05,182.839996,183.259995,178.380005,181.029999,1681600,180.7333
2016-04-06,180.600006,181.949997,179.809998,180.350006,849300,180.054422
2016-04-07,179.360001,180.759995,171.929993,172.580002,2691700,172.297152
2016-04-08,172.889999,173.5,169.75,171.029999,1404700,170.749689
2016-04-11,171.050003,171.899994,167.320007,167.460007,1305300,167.185548
2016-04-12,167.710007,170.649994,167.699997,170.410004,976800,170.13071
2016-04-13,170.699997,172.110001,168.690002,169.960007,1197800,169.681451
2016-04-14,169.740005,170.610001,168.029999,168.240005,666900,167.964269
2016-04-15,168.050003,170.229996,166.699997,169.869995,868500,169.591587
2016-04-18,169.889999,172.279999,168.869995,171.720001,778500,171.438561
2016-04-19,172.419998,174.899994,172.089996,174.770004,974900,174.483565
2016-04-20,175.0,176.270004,172.710007,174.5,519500,174.214003
2016-04-21,174.199997,175.369995,172.289993,173.449997,503000,173.165721
2016-04-22,173.979996,175.320007,173.529999,175.300003,561600,175.012695
2016-04-25,174.800003,176.160004,173.699997,176.110001,546300,175.821365
2016-04-26,176.300003,178.759995,175.009995,178.479996,749900,178.187476
2016-04-27,178.899994,179.160004,176.600006,177.559998,711800,177.268986
2016-04-28,177.690002,179.399994,176.880005,177.869995,431200,177.578475
2016-04-29,177.339996,178.169998,175.050003,177.070007,605900,176.779799
2016-05-02,178.0,178.789993,177.320007,177.610001,529000,177.318907
2016-05-03,177.119995,178.309998,176.0,176.929993,507800,176.640013
2016-05-04,175.160004,177.690002,174.649994,175.699997,577700,175.412034
2016-05-05,175.289993,176.389999,173.990005,174.110001,1369900,173.824643
2016-05-06,173.0,174.440002,169.619995,170.679993,1275200,170.400257
2016-05-09,171.389999,173.910004,170.5,171.279999,727200,170.99928
2016-05-10,171.589996,174.220001,171.309998,173.539993,584000,173.25557
2016-05-11,173.970001,174.990005,169.710007,170.059998,532000,169.781278
2016-05-12,170.100006,171.520004,165.550003,165.809998,858400,165.538243
2016-05-13,165.880005,166.610001,160.649994,165.229996,2070100,164.959192
2016-05-16,164.910004,171.960007,163.889999,171.520004,1847700,171.238892
2016-05-17,171.429993,172.259995,168.669998,170.800003,1244000,170.520071
2016-05-18,170.529999,173.419998,169.860001,170.220001,875200,169.941019
2016-05-19,168.889999,169.979996,167.339996,168.330002,898000,168.054118
2016-05-20,168.949997,169.990005,168.309998,169.600006,1410200,169.32204
2016-05-23,170.0,172.970001,169.080002,169.589996,1160900,169.312047
2016-05-24,170.210007,171.809998,169.550003,170.779999,1227100,170.500099
2016-05-25,170.630005,175.139999,170.029999,174.699997,1773800,174.413673
2016-05-26,174.669998,174.820007,172.979996,174.25,1020300,173.964413
2016-05-27,174.080002,174.979996,172.5,173.740005,585400,173.455254
2016-05-31,174.5,174.860001,171.380005,172.509995,1279400,172.227259
2016-06-01,172.270004,177.820007,171.529999,177.399994,1015900,177.109244
2016-06-02,177.809998,187.399994,175.270004,187.360001,3518100,187.052927
2016-06-03,186.899994,186.990005,184.279999,186.199997,1094100,185.894825
2016-06-06,186.75,189.820007,186.25,189.380005,968000,189.069621
2016-06-07,189.5,189.899994,187.800003,188.399994,880700,188.091216
2016-06-08,187.630005,189.369995,187.479996,188.0,1464200,187.691878
2016-06-09,187.029999,188.580002,187.0,188.350006,621200,188.04131
2016-06-10,188.0,188.5,185.979996,186.759995,323700,186.453904
2016-06-13,186.240005,187.860001,184.630005,184.690002,544800,184.387305
2016-06-14,184.880005,187.440002,184.5,185.690002,813000,185.385666
2016-06-15,186.220001,187.520004,185.240005,185.550003,717700,185.245896
2016-06-16,185.059998,187.529999,184.339996,187.039993,682400,186.733444
2016-06-17,187.259995,187.929993,185.399994,187.149994,844300,186.843265
2016-06-20,188.710007,191.649994,188.0,189.899994,1935300,189.588758
2016-06-21,190.729996,190.759995,188.679993,190.070007,1236400,189.758492
2016-06-22,189.720001,191.0,187.330002,187.669998,1231700,187.362417
2016-06-23,188.850006,190.619995,185.610001,187.309998,1396700,187.003006
2016-06-24,184.690002,185.899994,182.460007,182.899994,917000,182.60023
2016-06-27,181.440002,182.0,176.940002,176.940002,1576700,176.650007
2016-06-28,179.339996,182.970001,179.029999,182.949997,2626200,182.949997
